,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
T614,Jordan Kunaszyk,FA,LB,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Chris Rowland,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Artavis Pierce,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,K.J. Costello,FA,QB,-,-,-,-,-,618.30,-,-,,,,
T614,Scooter Harrington,FA,TE,-,-,-,-,-,609.50,-,602.50,,,,
T614,Qwuantrezz Knight,FA,S,-,-,169.93,-,-,-,-,-,,,,
T614,DJ Turner,FA,WR,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T614,Dez Fitzpatrick,LAC,WR,-,-,169.99,-,-,-,-,-,,,IR,Undisclosed
T614,Shaun Beyer,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Cedric Boswell,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Noah Fant,CIN,TE,401.69,-,169.96,-,268.40,271.10,333.80,279.80,1.16,0.00,,
T614,Chauncey Golston,NYG,DE,436.00,-,170.68,-,-,-,-,-,,,,
T614,Amani Hooker,TEN,S,358.00,-,175.93,-,-,-,-,-,,0.18,,
T614,Nick Niemann,HOU,LB,-,-,170.01,-,-,-,-,-,,,,
T614,Caleb Shudak,FA,K,-,-,169.99,-,-,-,-,603.00,,0.05,,
T614,Nate Stanley,FA,QB,-,-,-,-,-,-,-,630.30,,,,
T614,Kristian Welch,GB,LB,-,-,169.95,-,-,-,-,-,,,,
T614,Curtis Robinson,SF,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Krys Barnes,CAR,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Osa Odighizuwa,DAL,DT,335.00,-,173.58,-,-,-,-,-,,,,
T614,Brandon Stephens,NYJ,CB,640.00,-,170.77,-,-,-,-,-,,,,
T614,Myles Bryant,HOU,CB,-,-,169.96,-,-,-,-,-,,,,
T614,Milo Eifler,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Aaron Fuller,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Byron Murphy,MIN,CB,381.00,-,172.65,-,-,-,-,-,,0.19,,
T614,Levi Onwuzurike,DET,DT,-,-,170.00,-,-,-,-,-,,,PUP-R,Knee - ACL
T614,Anthony Gordon,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Josh Black,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,McKinley Williams,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,Bryce Hall,TB,CB,-,-,169.94,-,-,-,-,-,,,,
T614,Joe Reed,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Cam Brown,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Blake Gillikin,ARI,P,-,-,174.03,-,-,-,-,-,,0.16,,
T614,Daniel Joseph,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,Zech McPhearson,JAX,CB,-,-,170.00,-,-,-,-,-,,,IR,Undisclosed
T614,Dredrick Snelson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,John Bates,WAS,TE,-,-,169.96,-,-,-,-,-,,0.00,,
T614,Prince Emili,FA,DT,-,-,169.94,-,-,-,-,-,,,,
T614,Alexander Mattison,MIA,RB,"1,227.10",-,169.98,-,270.47,-,370.30,343.40,1.09,,IR,Neck
T614,Avery Williams,PHI,WR,-,-,169.97,-,-,-,-,-,,,,
T614,Benny LeMay,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Ben DeLuca,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Irv Smith,HOU,TE,-,-,169.98,-,-,-,-,-,,0.00,,
T614,Quinnen Williams,NYJ,DT,510.00,-,174.01,-,-,-,-,-,,0.06,,
T614,Mack Wilson,ARI,LB,584.00,-,171.72,-,-,-,-,-,,0.04,,
T614,Drew Anderson,FA,QB,-,-,-,-,-,693.70,-,550.50,,,,
T614,Anthony Johnson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Antonio Nunn,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Isaiah Wright,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Amen Ogbongbemiga,CHI,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Cole McDonald,FA,QB,-,-,-,-,-,474.60,-,-,,,,
T614,Jabril Cox,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Kameron Cline,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Richie Grant,SF,S,-,-,170.03,-,-,-,-,-,,,Ques,Knee
T614,Trysten Hill,FA,DT,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Jack Heflin,LAR,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Andrew Parchment,FA,WR,-,-,-,-,-,636.00,-,-,,,Ques,Undisclosed
T614,Sergio Bailey,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Nolan Givan,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Damon Hazelton,FA,WR,-,-,-,-,-,-,612.00,-,,,,
T614,Drew Plitt,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Shyheim Carter,FA,CB,-,-,169.92,-,-,-,-,-,,,,
T614,Raekwon Davis,FA,DT,-,-,170.00,-,-,-,-,-,,,Ques,Illness
T614,Trevon Diggs,DAL,CB,702.00,-,170.52,-,-,-,-,-,,,PUP-P,Knee
T614,Matt Cole,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Samson Nacua,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Devin Asiasi,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Kekoa Crawford,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Michael Dwumfour,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Chris Evans,FA,RB,-,-,169.99,-,-,-,-,651.30,,,,
T614,Rashan Gary,GB,LB,309.00,-,170.84,-,-,-,-,-,,,,
T614,Khaleke Hudson,TEN,LB,-,-,170.00,-,-,-,-,-,,,,
T614,David Long,FA,CB,-,-,169.96,-,-,-,-,-,,,Ques,Groin
T614,Josh Metellus,MIN,S,301.00,-,174.96,-,-,-,-,-,,0.03,Ques,Shoulder
T614,Joshua Uche,PHI,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Ian Book,FA,QB,-,-,169.98,-,-,-,543.50,612.60,,,,
T614,Chase Claypool,FA,WR,-,-,169.99,-,-,-,-,-,,0.00,Ques,Toe
T614,Jalen Elliott,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Tony Jones,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T614,Julian Love,SEA,S,281.00,-,169.12,-,-,-,-,-,,0.42,,
T614,Javon McKinley,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Adetokunbo Ogundeji,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Julian Okwara,CLE,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Troy Pride,DAL,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Jequez Ezzard,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Caleb Johnson,ATL,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Timmy Horne,TEN,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Tanner Conner,MIA,TE,-,-,169.98,-,-,-,-,-,,,,
T614,Kevin Kassis,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jake Hausmann,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Felix Harper,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Nick Bosa,SF,DE,221.00,-,136.87,111.04,-,-,-,-,,2.03,Ques,Neck
T614,Luke Farrell,SF,TE,-,-,169.97,-,241.66,-,-,-,,,,
T614,Jordan Fuller,ATL,S,-,-,170.57,-,-,-,-,-,1.15,,,
T614,Malik Harrison,PIT,LB,-,-,170.52,-,-,-,-,-,,,,
T614,Chase Allen,FA,TE,-,-,169.98,-,-,-,-,-,,,,
T614,Floyd Allen,FA,WR,-,-,-,-,-,447.20,-,-,,,,
T614,Braylon Sanders,WAS,WR,-,-,169.99,-,-,-,-,653.60,,0.00,,
T614,Jordan Stout,BAL,P,446.00,-,170.46,-,-,-,-,-,,,,
T614,Raheem Blackshear,CAR,RB,-,-,169.95,-,-,-,-,-,,0.00,,
T614,Stanley Berryhill,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Gary Brightwell,CIN,RB,-,-,169.99,-,-,-,-,-,,0.00,,
T614,Tony Fields,LAR,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jalen Harris,FA,DE,-,-,169.90,-,-,-,-,-,,,,
T614,Lucas Havrisik,FA,K,-,-,169.98,-,-,-,698.00,600.00,,,,
T614,Olakunle Fatukasi,FA,LB,-,-,169.85,-,-,-,-,-,,,,
T614,Jon Rhattigan,CAR,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Bo Melton,GB,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Travis Vokolek,ARI,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Jake Tonges,SF,TE,-,-,170.00,-,-,-,-,-,,,,
T614,Matt Gay,WAS,K,310.64,-,165.40,171.98,-,627.40,311.70,684.60,1.19,0.34,,
T614,Quentin Lake,LAR,S,307.00,-,171.31,-,-,-,-,-,,0.26,,
T614,Khyiris Tonga,NE,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Darren Hall,ARI,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Josh Ali,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Quinton Bohanna,SEA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Lynn Bowden,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Phil Hoskins,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Josh Paschal,DET,DE,-,-,170.00,-,-,-,-,-,,,NFI-A,Undisclosed
T614,Jonathan Ford,CHI,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Claudin Cherelus,CAR,LB,-,-,170.68,-,-,-,-,-,,,Ques,Groin
T614,Pete Guerriero,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Forrest Rhyne,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Blake Grupe,NO,K,"1,338.00",-,169.82,-,-,615.10,-,-,,0.00,,
T614,D'Vonte Price,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T614,Brenden Knox,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,B.J. Baylor,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Isaiah Dunn,GB,CB,-,-,170.00,-,-,-,-,-,,,IR,Undisclosed
T614,Robert Beal,SF,DE,-,-,170.00,-,-,-,-,-,,,Ques,Groin
T614,Stetson Bennett,LAR,QB,-,-,169.94,-,241.42,666.80,582.70,-,,0.00,,
T614,Malik Herring,KC,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Matt Landers,TEN,WR,-,-,-,-,-,-,-,-,,,,
T614,Ameer Speed,FA,CB,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T614,Eric Stokes,LV,CB,-,-,170.48,-,-,-,-,-,,,,
T614,Vi Jones,ARI,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Erik Krommenhoek,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Brandon Pili,SEA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Isaiah Pola-Mao,LV,S,455.00,-,173.71,-,-,-,-,-,,,,
T614,Jay Tufele,NYJ,DT,-,-,169.92,-,-,-,-,-,,,,
T614,Cephus Johnson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jalen Tolbert,DAL,WR,220.31,-,170.19,221.12,255.25,314.20,331.10,297.90,0.90,0.00,,
T614,Avery Davis,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Derrick Barnes,DET,LB,-,-,171.09,-,-,-,-,-,,,,
T614,Kurt Hinish,HOU,DT,-,-,170.00,-,-,-,-,-,,,PUP-P,Undisclosed
T614,Cole Kmet,CHI,TE,204.61,-,169.65,172.68,236.90,215.20,215.70,218.30,2.21,0.02,,
T614,Jeremiah Owusu-Koramoah,CLE,LB,-,-,169.87,-,-,-,-,-,,,PUP-R,Neck
T614,Myron Tagovailoa-Amosa,FA,DE,-,-,-,-,-,-,-,-,,,,
T614,Michael Young,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Aidan O'Connell,LV,QB,-,-,169.97,-,243.67,-,-,390.90,,0.00,,
T614,Terry Wright,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Terrel Bernard,BUF,LB,259.00,-,174.51,-,-,-,-,-,,0.25,Ques,Hamstring
T614,Trestan Ebner,FA,RB,-,-,170.00,-,-,-,-,-,,,Ques,Concussion
T614,Harrison Hand,LAC,CB,-,-,170.00,-,-,-,-,-,,,,
T614,John Lovett,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,James Lynch,TEN,DT,-,-,170.00,-,-,-,-,-,,,,
T614,BJ Thompson,KC,DE,-,-,170.00,-,-,-,-,-,,,NFI-R,Chest
T614,Ta'Quon Graham,ATL,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Tariq Castro-Fields,PHI,CB,-,-,170.04,-,-,-,-,-,,,Ques,Hamstring
T614,Sean Clifford,GB,QB,-,-,169.98,-,-,-,-,-,,,,
T614,Yetur Gross-Matos,SF,DE,-,-,170.58,-,-,-,-,-,,,PUP-P,Undisclosed
T614,Mac Hippenhammer,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Charlie Jones,CIN,WR,-,-,-,-,-,-,-,-,,,,
T614,Kevin Marks,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Javon Kinlaw,WAS,DT,-,-,171.37,-,-,-,-,-,,,,
T614,Keisean Nixon,GB,CB,368.00,-,169.97,-,-,-,-,-,,0.85,,
T614,Zavier Scott,MIN,RB,-,-,-,-,241.54,564.50,652.50,494.40,,,,
T614,Tycen Anderson,CIN,S,-,-,170.07,-,-,-,-,-,,,,
T614,Savon Scarver,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jalen Wayne,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Nico Bolden,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Winston Reid,CLE,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Christian Braswell,JAX,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Arnold Ebiketie,ATL,LB,-,-,170.79,-,-,-,-,-,,,,
T614,Noah Gindorff,FA,TE,-,-,-,-,-,-,590.50,-,,,,
T614,Josh Hayes,TB,CB,-,-,169.96,-,-,-,-,-,,,,
T614,Bryan Cook,KC,S,587.00,-,171.22,-,-,-,-,-,,,,
T614,Christian Watson,GB,WR,287.45,-,170.29,205.62,269.66,302.20,289.30,253.40,2.14,0.01,PUP-P,Knee - ACL
T614,Charleston Rambo,FA,WR,-,-,-,-,-,-,493.60,-,,,Ques,Undisclosed
T614,Isaiah Thomas,CIN,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Kennedy Brooks,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Tre Brown,SF,CB,-,-,169.98,-,-,-,-,-,,,Ques,Heel
T614,Ryan Jones,FA,TE,-,-,-,-,-,551.20,-,-,,,,
T614,Marcus Santos-Silva,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Malik Cunningham,BAL,WR,-,-,169.99,-,-,-,551.30,-,,,,
T614,Russ Yeast,HOU,S,-,-,170.00,-,-,-,-,-,,,,
T614,Jack Gibbens,NE,LB,-,-,170.00,-,-,-,-,-,1.72,,,
T614,Braydon Johnson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Malcolm Rodriguez,DET,LB,-,-,170.00,-,-,-,-,-,,,PUP-P,Knee - ACL
T614,Tylan Wallace,BAL,WR,-,-,169.97,-,-,-,-,-,,0.00,,
T614,Tre Walker,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jared Scott,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Xazavian Valladay,FA,RB,-,-,169.98,-,-,-,-,-,,,,
T614,A.J. Thomas,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Riq Woolen,SEA,CB,761.00,-,170.28,-,-,-,-,-,,,,
T614,D.J. Montgomery,IND,WR,-,-,169.96,-,-,-,-,-,,0.00,IR,Undisclosed
T614,Gervarrius Owens,MIN,S,-,-,170.00,-,-,-,-,-,,,,
T614,Andre' Sam,PHI,S,-,-,-,-,-,-,-,-,,,,
T614,Tyler Hoosman,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Segun Olubi,IND,LB,-,-,171.26,-,-,-,-,-,,,,
T614,Damarri Mathis,DEN,CB,-,-,170.24,-,-,-,-,-,,,,
T614,Brady Russell,SEA,FB,-,-,169.98,-,-,-,-,-,,,,
T614,Travell Harris,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Riley Patterson,FA,K,-,-,169.97,-,-,420.50,538.50,-,,,,
T614,Tay Martin,WAS,WR,-,-,170.00,-,-,-,-,-,,,,
T614,T.J. Carter,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Ty Fryfogle,FA,WR,-,-,-,-,-,493.50,-,-,,,,
T614,Peyton Hendershot,FA,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Raheem Layne,NYG,S,-,-,169.98,-,-,-,-,-,,,,
T614,Whop Philyor,FA,WR,-,-,-,-,-,379.00,-,-,,,,
T614,Naz Bohannon,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Danny Davis,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Austin Faoliu,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Johnny Johnson,FA,WR,-,-,170.00,-,-,469.70,-,-,,,Ques,Arm
T614,Deommodore Lenoir,SF,CB,347.00,-,173.04,-,-,-,-,-,,0.19,Ques,Hip
T614,CJ Verdell,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Paulson Adebo,NYG,CB,190.00,-,158.50,-,-,-,-,-,,0.61,,
T614,Tucker Fisk,LAC,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Davis Mills,HOU,QB,-,-,169.98,-,246.85,-,-,-,,,,
T614,Colby Parkinson,LAR,TE,"1,694.60",-,169.98,-,241.94,-,-,-,,0.00,,
T614,Connor Wedington,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,AJ Dillon,PHI,RB,285.47,-,170.00,-,267.31,292.10,315.10,275.30,1.16,0.00,,
T614,Hunter Long,JAX,TE,-,-,169.98,-,241.22,-,-,-,,0.00,,
T614,Isaiah McDuffie,GB,LB,598.00,-,171.07,-,-,-,-,-,,,,
T614,Thayer Thomas,MIN,WR,-,-,-,-,-,-,-,519.50,,,,
T614,Montrell Washington,NYG,WR,-,-,169.99,-,-,428.00,-,-,,,,
T614,Tommy DeVito,NYG,QB,-,-,169.91,-,-,-,589.50,687.50,,0.00,,
T614,Marcus Jones,NE,CB,-,-,170.07,-,-,-,-,-,,0.04,,
T614,Kingsley Jonathan,NYJ,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Ifeatu Melifonwu,MIA,S,456.00,-,170.00,-,-,-,-,-,,,,
T614,Montaric Brown,JAX,CB,-,-,170.58,-,-,-,-,-,,,Ques,Lower Leg
T614,Kamren Curl,LAR,S,530.00,-,173.78,-,-,-,-,-,,,,
T614,Anders Carlson,FA,K,"1,357.00",-,169.98,-,-,-,-,-,,,,
T614,Micheal Clemons,NYJ,DE,-,-,170.72,-,-,-,-,-,,,,
T614,Buddy Johnson,DAL,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jacob Kibodi,FA,RB,-,-,169.94,-,-,-,-,443.80,,0.00,,
T614,Jayden Peevy,NO,DT,-,-,170.00,-,-,-,-,-,,,,
T614,John Ridgeway,NO,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Eric Scott,KC,CB,-,-,170.00,-,-,-,-,-,,,IR,Undisclosed
T614,Tanner Taula,TB,TE,-,-,-,-,-,-,-,-,,,,
T614,Zeke Vandenburgh,FA,LB,-,-,-,-,-,-,-,-,,,Ques,Leg
T614,DJ Johnson,CAR,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jason Pinnock,SF,S,670.00,-,170.63,-,-,-,-,-,,,Ques,Heel
T614,Joey Blount,ARI,S,-,-,170.00,-,-,-,-,-,,,,
T614,Charles Snowden,LV,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Malik Flowers,FA,WR,-,-,-,-,-,475.70,595.50,-,,,,
T614,Nate Landman,LAR,LB,667.00,-,171.35,-,-,-,-,-,,,Ques,Calf
T614,Slade Bolden,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Malachi Carter,FA,WR,-,-,-,-,-,-,-,543.00,,,,
T614,Juanyeh Thomas,DAL,S,-,-,169.90,-,-,-,-,-,,,,
T614,Tutu Atwell,LAR,WR,228.37,-,170.44,-,263.61,275.50,290.70,290.70,0.95,0.00,,
T614,Austin Aune,FA,QB,-,-,-,-,-,-,386.00,-,,,,
T614,Israel Mukuamu,DAL,S,-,-,169.97,-,-,-,-,-,,,,
T614,Kingsley Enagbare,GB,LB,559.00,-,171.03,-,-,-,-,-,,,,
T614,Ernest Jones,SEA,LB,262.00,-,153.73,102.54,-,-,-,-,,1.76,,
T614,Brayden Narveson,FA,K,-,-,169.97,-,-,-,-,-,,0.00,,
T614,Darius Rush,CLE,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Jarrick Bernard-Converse,NYJ,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Brennan Eagles,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Caden Sterns,FA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Ryan McDaniel,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Troy Hairston,FA,FB,-,-,170.00,-,-,-,-,-,,,,
T614,Samuel Womack,IND,CB,-,-,170.03,-,-,-,-,-,,,,
T614,Kwity Paye,IND,DE,445.00,-,171.64,-,-,-,-,-,,,Ques,Groin
T614,Brad Robbins,BUF,P,-,-,169.47,-,-,-,-,-,,,,
T614,Luiji Vilain,FA,LB,-,-,169.99,-,-,-,-,-,,,,
T614,Daylen Baldwin,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Willie Gay,MIA,LB,758.00,-,169.93,-,-,-,-,-,,,,
T614,Tyshaun James,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jordan Jackson,DEN,DT,-,-,170.21,-,-,-,-,-,,,,
T614,Jeff Cotton,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Matt Henningsen,DEN,DT,-,-,170.00,-,-,-,-,-,,,IR,Achilles
T614,Joel Honigford,FA,TE,-,-,-,-,-,-,599.20,-,,,,
T614,DJ Ivey,CIN,CB,-,-,169.94,-,-,-,-,-,,,,
T614,Greg Rousseau,BUF,DE,272.00,-,162.77,-,-,-,-,-,,0.59,,
T614,Payton Wilson,PIT,LB,661.00,-,171.15,-,-,-,-,-,,0.13,,
T614,Ricky Person,FA,RB,-,-,-,-,-,587.20,-,-,,,,
T614,Christopher Dunn,FA,K,-,-,169.98,-,-,-,407.50,-,,0.00,,
T614,Jordan Mosley,FA,S,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Michael Woods,FA,WR,-,-,170.00,-,-,-,695.00,-,,,Ques,Hand
T614,Jack Plummer,CAR,QB,-,-,-,-,-,402.30,497.50,-,,,,
T614,Josh Whyle,TEN,TE,"1,592.60",-,169.99,-,241.18,-,-,-,,0.00,,
T614,Darien Butler,FA,LB,-,-,169.90,-,-,-,-,-,,,,
T614,Holton Ahlers,FA,QB,-,-,-,-,-,-,564.00,-,,,,
T614,Max Borghi,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Colson Yankoff,WAS,TE,-,-,169.99,-,-,-,568.00,-,,0.00,,
T614,Jacob Sirmon,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Isaiah Bowser,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Greg Newsome,CLE,CB,-,-,170.49,-,-,-,-,-,,,Ques,Shoulder
T614,Zack Annexstad,FA,QB,-,-,-,-,-,-,-,620.00,,,,
T614,Talanoa Hufanga,DEN,S,694.00,-,172.97,-,-,-,-,-,,0.02,,
T614,Kana'i Mauga,LAC,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Andre Cisco,NYJ,S,-,-,170.71,-,-,-,-,-,,,,
T614,Nathan Shepherd,NO,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Devin Culp,TB,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Kyler Gordon,CHI,CB,629.00,-,172.14,-,-,-,-,-,,,Ques,Hamstring
T614,Dominique Hampton,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Ale Kaho,WAS,LB,-,-,-,-,-,-,-,-,,,,
T614,Taki Taimani,MIN,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Greg Bell,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Micah Parsons,DAL,LB,150.00,-,124.96,90.86,-,-,-,-,,3.18,Ques,Back
T614,Adrian Martinez,NYJ,QB,-,-,-,-,-,-,-,-,,,,
T614,Jesse Luketa,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Zack Kuntz,NYJ,TE,-,-,169.99,-,-,410.00,445.80,-,,,,
T614,Antonio Gibson,NE,RB,280.41,-,169.96,-,271.95,343.70,366.00,335.10,1.09,0.00,,
T614,Ronnie Perkins,ATL,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jalen Redmond,MIN,DT,631.00,-,170.00,-,-,-,-,-,,,,
T614,Trevor Denbow,FA,S,-,-,169.92,-,-,-,-,-,,,Ques,Knee
T614,TaMerik Williams,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Sean Ryan,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Siaosi Mariner,FA,WR,-,-,-,-,-,580.60,-,-,,,,
T614,Terell Smith,CHI,CB,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T614,Brevyn Spann-Ford,DAL,TE,-,-,169.99,-,-,-,-,-,,0.01,Ques,Ankle
T614,Sam Hartman,WAS,QB,-,-,-,-,-,694.20,-,-,,,,
T614,Blake Whiteheart,CLE,TE,-,-,169.99,-,-,518.30,-,-,,,,
T614,Nick Sciba,FA,K,-,-,169.98,-,-,-,428.80,-,,0.00,,
T614,A.T. Perry,DEN,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Tre Turner,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Damone Clark,DAL,LB,-,-,171.06,-,-,-,-,-,,,,
T614,Jaray Jenkins,FA,WR,-,-,-,-,-,455.20,-,-,,,,
T614,Kelvin Joseph,FA,CB,-,-,169.98,-,-,-,-,-,,,,
T614,Amari Gainer,LV,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Stephen Guidry,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Tyquan Thornton,KC,WR,-,-,169.98,-,242.79,-,567.30,-,,0.00,,
T614,Tyler Shough,NO,QB,211.63,-,170.10,63.53,239.76,161.20,284.90,151.80,5.03,0.04,,
T614,Travis Dye,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Verone McKinley,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Brenton Cox,GB,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Mario Goodrich,NYJ,CB,-,-,169.96,-,-,-,-,-,,,,
T614,Kyler McMichael,PIT,CB,-,-,-,-,-,-,-,-,,,,
T614,B.T. Potter,FA,K,-,-,-,-,-,-,-,646.50,,,,
